2525.781, 2510.115, 2494.426, 2405.852, 2437.747, 2501.289, 2565.039, 2617.505, 2596.220, 2634.876, 2645.519, 2729.645, 2658.831, 2660.986, 2686.050, 2668.976
2594.016, 2537.286, 2391.884, 2340.807, 2364.494, 2293.820, 2370.375, 2398.394, 2402.892, 2465.379, 2514.989, 2589.366, 2538.671, 2635.923, 2610.423, 2599.647
2544.300, 2488.561, 2500.179, 2522.553, 2490.289, 2510.273, 2566.862, 2641.160, 2693.166, 2744.982, 2731.521, 2783.340, 2774.074, 2751.194, 2714.466, 2720.450
2500.657, 2454.855, 2393.788, 2295.959, 2238.727, 2266.704, 2317.780, 2413.473, 2473.676, 2548.043, 2591.187, 2635.547, 2672.460, 2699.865, 2685.378, 2740.889
2631.703, 2669.595, 2681.684, 2615.938, 2470.129, 2542.535, 2501.966, 2448.383, 2487.086, 2532.098, 2573.070, 2618.916, 2705.670, 2682.567, 2780.988, 2766.087
2725.839, 2684.341, 2590.743, 2489.851, 2366.342, 2324.082, 2144.308, 1992.290, 2164.483, 2382.027, 2475.042, 2542.406, 2579.667, 2604.296, 2644.525, 2613.687
2524.761, 2534.993, 2492.787, 2478.766, 2411.608, 2022.463, 1989.660, 1923.924, 1768.827, 2342.816, 2510.819, 2478.516, 2435.501, 2467.892, 2475.016, 2514.726
2473.878, 2454.273, 2413.381, 2362.250, 2018.493, 1873.625, 1680.302, 1697.295, 1845.163, 2109.680, 2326.763, 2423.129, 2415.516, 2452.506, 2473.045, 2480.861
2539.607, 2552.958, 2502.894, 2552.058, 2338.052, 2084.173, 1913.971, 1780.168, 1650.654, 2237.787, 2657.676, 2783.774, 2746.340, 2757.898, 2710.438, 2728.074
2781.084, 2753.037, 2647.898, 2535.747, 2338.736, 1844.403, 1468.838, 1259.470, 1715.399, 1566.430, 2190.640, 2547.370, 2568.200, 2373.094, 2651.976, 2692.069
2777.728, 2714.291, 2655.272, 2488.501, 2428.321, 2204.114, 1829.247, 1805.129, 1619.071, 1700.453, 1743.875, 2619.363, 2634.073, 2606.403, 2612.619, 2604.762
2687.864, 2649.387, 2677.369, 2633.714, 2533.926, 2294.239, 2285.152, 2098.661, 1863.527, 2643.585, 2582.556, 2845.314, 2778.399, 2668.027, 2607.674, 2562.619
2637.121, 2576.624, 2588.550, 2546.983, 2518.449, 2450.796, 2505.812, 2424.390, 2321.728, 2602.935, 2633.296, 2689.610, 2803.679, 2818.586, 2828.531, 2821.977
2906.369, 2909.406, 2880.093, 2785.294, 2708.621, 2630.229, 2633.312, 2605.640, 2572.316, 2648.810, 2683.186, 2713.999, 2721.650, 2627.217, 2614.923, 2587.676
2671.418, 2685.790, 2552.465, 2563.903, 2550.823, 2470.902, 2502.096, 2533.872, 2516.229, 2532.499, 2558.189, 2595.677, 2616.495, 2613.333, 2637.296, 2604.804
2670.248, 2699.951, 2768.378, 2760.697, 2752.359, 2680.649, 2723.729, 2735.007, 2666.205, 2653.692, 2649.691, 2622.301, 2620.103, 2654.992, 2580.615, 2560.553
