0.456, 0.477, 0.449, 0.463, 0.463, 0.467, 0.467, 0.464, 0.463, 0.473, 0.461, 0.461, 0.462, 0.472, 0.461, 0.478
0.463, 0.462, 0.461, 0.459, 0.457, 0.477, 0.467, 0.463, 0.461, 0.468, 0.467, 0.475, 0.468, 0.466, 0.469, 0.468
0.454, 0.468, 0.464, 0.456, 0.458, 0.477, 0.463, 0.460, 0.461, 0.461, 0.468, 0.465, 0.462, 0.475, 0.470, 0.459
0.465, 0.459, 0.457, 0.456, 0.476, 0.475, 0.459, 0.459, 0.470, 0.464, 0.467, 0.463, 0.465, 0.462, 0.463, 0.463
0.465, 0.466, 0.469, 0.468, 0.468, 0.462, 0.497, 0.469, 0.466, 0.458, 0.461, 0.468, 0.468, 0.464, 0.468, 0.464
0.462, 0.475, 0.461, 0.462, 0.473, 0.482, 0.537, 0.626, 0.529, 0.459, 0.461, 0.469, 0.466, 0.458, 0.464, 0.475
0.458, 0.468, 0.471, 0.463, 0.467, 0.577, 0.639, 0.646, 0.620, 0.579, 0.475, 0.471, 0.468, 0.470, 0.470, 0.462
0.456, 0.458, 0.463, 0.477, 0.562, 0.633, 0.601, 0.629, 0.635, 0.597, 0.461, 0.468, 0.466, 0.460, 0.464, 0.469
0.460, 0.461, 0.468, 0.465, 0.544, 0.621, 0.621, 0.626, 0.622, 0.625, 0.614, 0.477, 0.476, 0.458, 0.467, 0.457
0.464, 0.461, 0.471, 0.465, 0.520, 0.634, 0.607, 0.623, 0.616, 0.608, 0.635, 0.455, 0.454, 0.468, 0.470, 0.460
0.462, 0.460, 0.470, 0.513, 0.472, 0.651, 0.665, 0.615, 0.633, 0.616, 0.630, 0.463, 0.456, 0.467, 0.469, 0.462
0.471, 0.456, 0.464, 0.469, 0.466, 0.633, 0.643, 0.572, 0.568, 0.465, 0.467, 0.472, 0.464, 0.482, 0.458, 0.464
0.464, 0.470, 0.453, 0.462, 0.466, 0.476, 0.462, 0.505, 0.550, 0.466, 0.465, 0.461, 0.461, 0.457, 0.458, 0.462
0.458, 0.462, 0.454, 0.464, 0.462, 0.467, 0.453, 0.455, 0.458, 0.467, 0.461, 0.462, 0.460, 0.463, 0.466, 0.469
0.475, 0.452, 0.454, 0.458, 0.471, 0.474, 0.467, 0.475, 0.463, 0.472, 0.456, 0.455, 0.446, 0.470, 0.469, 0.468
0.470, 0.463, 0.471, 0.458, 0.458, 0.461, 0.469, 0.460, 0.462, 0.465, 0.456, 0.470, 0.469, 0.467, 0.457, 0.464
